RELATÓRIO MENSAL DIGITAL — MAXME BIO,,,,,
Mês de referência:,Março 2026,,,Gerado em:,02/04/2026
,,,,,,
,,,,,,
=== RESUMO EXECUTIVO ===,,,,,,
,,,,,,
INDICADOR,VALOR MARÇO,VAR. VS FEV,META,STATUS,OBSERVAÇÃO
Faturamento bruto,R$ 1.049.000,58,+17%,,,
Faturamento líquido,R$ 781.557,67,+15%,,,
Vendas totais (com frete),R$ 809.728,15,+15%,,,
Pedidos,2596,+24%,,,
Ticket médio bruto,R$ 404,,,, Calculado: R$1.049k / 2.596 pedidos
Clientes recorrentes,44,97%,+28%,,,
Descontos concedidos,R$ 267.442,91,+27%,,, 25,5% do bruto
Custo de envio,R$ 28.170,48,+32%,,,
,,,,,,
RECEITA POR CANAL (ATRIBUIÇÃO),,,,,,
Canal,Receita Atribuída,% do Total,,,
E-mail Marketing,R$ 258.358,84,,,, Newsletter + Automações
WhatsApp (Revi - total influenciado),R$ 227.315,00,,,, Marketing + Automações
SEO / Blog (orgânico),R$ 106.412,82,,,, Google Analytics
WhatsApp (receita campanhas diretas),R$ 148.303,62,,,, Dentro do total Revi
,,,,,,
TOTAL RECEITA RASTREADA (SOMA DOS CANAIS),R$ 591.086,46,,,,
